Correct, Wrong
nibhane, nibhance	nibfane
gaati, guati	gaaoi	mgaati	gcaati	gaatib
kholti, ktholti	kholai	kholtci	kholts	khfolti	zkholti	kholtin	kholpi	kholgti	kholvti
nazmi, nahmi	iazmi	nnzmi	nazmki	oazmi	nazmn	nazmmi	npazmi	nanzmi
shaandaar, shaardaar	shaaxndaar	shnandaar	shajndaar	shaanadaar	shaandaarg	shaandaary	shaandmar	shabandaar
raees, rames	sraees	raeevs	raaes	raeaes	rages	rqees
purple, purqle
screw, scpew	scrdew	acrew	sczrew	scxrew	screz	sbrew	scqrew
samajhtay, sanmajhtay	samnajhtay	samajhtagy
bhartay, bhartaty	bnhartay	bharthay	bhartayc	bhawrtay	buartay
pac, ptc	sac	vac	pact	pacr
kahien, kahijn	kgahien	kahie	kahrien
chlte, zhlte	chlnte	chltle	chdlte	chltke	chltes
bhoat, bhnat	bhoant	bhoatc	bwhoat	bhoatw
bewaqof, jbewaqof	dewaqof	bbwaqof	bepwaqof	bewawqof	bebaqof	bewfaqof	bewaqofr	bewahqof	bewaqofo
khote, khcte	khwote	ksote	khzote	ehote
koyee, doyee	oyee	aoyee
raqbay, raqbpay	rbqbay	raqbhy	ranqbay	raqboy	raqbiy	raqxbay	raqsay	raquay
hawarion, hawaxrion	hawbarion	hawariuon	zhawarion	hawarionw	hawraion	hawacrion	hawarqon	hawarionh	hawdrion
zoja, azoja	zojah	zoaj	zmja
bags, bhgs	bmgs	bagsx
fichr, fcchr	fiche	ficcr	ficlhr
daai, dpaai	baai	hdaai	dapai	saai	daaqi	dabai
baarha, baarhla	baarhah	buaarha	wbaarha	baarrha	baarja
ogiji, ogijai
lagny, lagnoy	lagnya
throat, throa
shouting, shouoting	shluting	shoutwng	shoutinm
laayak, layaak	laamyak	laaypak	elaayak	laeayak	latyak
barsa, bkrsa
shuruaat, shurudat	shnruaat	shuruaae	phuruaat	shuruahat
abused, abuskd	abysed	abzsed
gall, xall
unta, untag	bunta	utnta	untaj	ufnta	unkta	unata	ugnta	unita
namune, namuneh	vamune	namunbe	ndamune	namunx	inamune	nmune
kahana, kaharna	kahanax	kahapa	kahnana	lahana	dahana	kahada	kxhana
ssim, sscm	sjsim	ssivm	ssimg	ssiem	sscim	bssim
esss, essr
unnhone, unlnhone	upnhone	unpnhone	unnhonex	unnhoqne
macho, mmcho	makcho	mancho	machao	msacho	maceho	machwo	machs
sunkr, sunor	suntr	sunko	sunktr	suznkr	sunxkr	sunkrv	sunjr	squnkr
hopefully, hopefullyz
chhed, vchhed	achhed	chhek
jisny, lisny	jiqny	jisnt	jisnjy	jdsny	jisnyx
aring, aribg	arikg	aering	arieg	arink	arinm
huii, huiin	huiig	mhuii	huiwi	houii	uii	shuii	huyii
older, odler	olderw	oqder	oldaer	oldnr	oldevr	oldxer	oldpr
aire, aipe	naire	airt	alre	airo	pire	aifre	amire	aiqre
jagir, jagimr
haay, whaay	hmaay	haab	ehaay	hayy	haaq
sehmat, cehmat	sehmas	sehumat	sjhmat
npadh, npapdh	nppdh
afan, afzn	acan	ahfan
aayea, aayeg	aayeam	aayba	aayed	aeyea	aayet	aayei	bayea	apayea
arcasm, arcasmd	frcasm
trigger, ftrigger	triggerv	trkigger	tripger	tcigger
ilani, ilbani	irlani
huvi, hucvi	ahuvi	hzvi	huvf
ardesai, arjdesai	ardesaim	ardesiai	ardesali
sunami, senami	sunlami	sunamxi	sunamid	sunampi
akistanion, akistanioy	avkistanion	akiastanion	akistaxnion	ankistanion	tkistanion
balidan, balidavn	bawlidan	balmidan	bawidan	dbalidan	bayidan	balidav
hatak, hatbak	haatk	hauak	hatahk	havtak	hnatak	hmatak	hatakq	hataka	hatcak
ivo, ivc	ivdo
chodd, chowdd	kchodd	chsodd
khelty, klelty
hoping, hopign
educate, edukcate	educwate	zducate	teducate	eduate	edujcate	edjcate	edugcate	edujate	educatie
abrez, abriz	abrcz	abrvz
patakhe, patakhue	patabhe	patakhse	yatakhe	patajkhe	palakhe	pxtakhe	pauakhe
uttay, uvttay
hos, homs	heos	hws	hoqs	khos	hots	hgos
onkey, onkbey	onuey	onkeyg	onkkey	onky	vonkey
winkle, winkne	winklf	winklh	wienkle	wibkle	winxkle	wipnkle	winklze
adiani, adianz	adiangi	adkiani
laun, lfaun	ulaun	lyaun	luaun	lauo
fur, fufr	fpr	fulr	fupr	fup
olitician, oliticiaan	olihician	oliytician	olioician
hej, hefj
atke, atde	antke	btke	athke	vtke	atkeb	atkez	yatke	otke	atce
ingapore, ingaporep	ingspore	ingapohre	ingahpore	ingarpore	ingfapore	ingxpore	ingaprre	ingoapore
tira, tjra	tkra	tirh	tdra	tiya	tirah
velvet, velvft	velvey
cachorro, cachoyro	cyachorro	cachorrmo	cachorto	cacnhorro
cantar, cfantar	cantuar	cpantar
sci, sxci	dsci
ghaddaron, ghaddairon	bghaddaron
tuned, tunde	ztuned	buned	etuned	tuoed	btuned
newly, nemly	yewly
telah, tlelah	tkelah	pelah	tgelah	tmelah	telahs	telaz
blooded, vblooded	alooded	bvooded	bloodefd	boloded	bloooed
ohon, odon	ohod	obon	ohonh	ohvon	ohxon	ooon	ohopn
disease, bisease	diseasef	diseasxe	diseasem	disoase	diisease	hdisease	diseawse	ditease	diseasce
coloquei, coloquvei	colwoquei	colouqei	cojoquei	coloquyi	coloqukei	cohloquei	colouuei
irene, ixene	ireone	irenej
posisi, pozisi
guerra, gwerra	guhrra
pasado, pasadog	paqsado
ishtihaar, ishtiyaar	ishtihaakr	ishtihaasr	isutihaar	sihtihaar	inshtihaar	ishihaar	iihtihaar
kolam, bkolam	koflam
ncur, nmcur	dncur	ecur
portrit, dportrit	portrrit	portriyt	porntrit	poitrit	portritu	portrizt	portirt	portzrit
mzalm, mnalm	mszalm	mzaxm
sharlt, sharlto	sharlht	sharolt	shawlt	shbarlt	syarlt	shahlt	shzarlt	seharlt	sparlt
mahnamh, maknamh	gahnamh	manhnamh	mabhnamh	mahnuamh	kmahnamh	mahnamw	mahnaymh
pardazi, pkardazi	paadazi
taulqi, wtaulqi	ntaulqi	otaulqi	tauhqi
harqi, haqrqi	hafrqi	hhrqi	hadrqi	marqi	harqit	haryqi	hayqi
safaaq, xafaaq	sdafaaq	sxafaaq	safaag	snfaaq
denise, dxenise
wasita, wasitda	wagsita	awsita	wasiza	gwasita	jwasita	wsasita	warsita	kasita	wasihta
dikstr, diksztr	dlikstr	xikstr	dikstl	hikstr	dikstrg	dijkstr
foloppy, fomloppy	fbloppy	foloppq	foloppi	foloppl
antonyo, anstonyo	antonro	antdnyo	antonyog	anlonyo	anttnyo
ithani, ithanin	ijthani	ithanqi	itxhani	ifhani	ithyni	itkhani	ithans	iqhani	itxani
chopar, chxpar	chopaa	cthopar	chgpar	chmopar	chouar	yhopar	chonpar	chopakr	choar
binodmemes, binodmzemes	binhodmemes
killin, killio	killiun	eillin	killisn
copo, mcopo	copao	compo	zopo	coopo
comear, zcomear	cohmear	commear	combar	comegr
mpada, mpaca
gabrielle, gybrielle	gabriemle	gabrielleu	gabriellg	gabfrielle	gabriellex	ngabrielle
qistoon, qisxoon	cistoon	jqistoon	qiwstoon	qistoony	qistokon	qistdoon	qistzoon	qistooq	qittoon
flynn, flrynn	flinn	flyfn	flynnd	flynns	flynw	fltnn	flyenn	fwynn
murawati, murabati	murawcati	mvurawati	murlwati
doorframe, doorfrace	tdoorframe	doorfrahe	doorfrime
hurtled, hburtled	hurtledm	hurtlbed	hurtledi	gurtled	hurtfled
critters, crditters	crgtters	crittgrs	crittiers	cretters	critbters	xcritters	criltters
teagues, taegues
arnkel, arnkewl	arnhel	garnkel	arnkeg	alnkel	arnkezl	atrnkel	arnkyl	acrnkel	arnked
traks, trads	trakso	trnks	trahs	trlaks	vtraks	trawks
jorran, jowrran	jororan	joryan	jorrjan	jforran	jirran	jmorran
kapry, hapry	kaprgy	kaspry	katry
btaen, bkaen	btwen	obtaen	btaeg	btaxen	btmen
zrori, irori	zrbori	zruori	zrorij	uzrori	zkrori
offers, ofvfers	offbers	foffers	offqrs	ofsfers	offersz	ocffers	offercs	pffers	offiers
kardar, kavdar	kardarb	kdardar	kardaz	kartdar	kardav	kardpr	rardar	jkardar
ezazat, ozazat
idare, idaie	qdare	idagre
waba, qaba
phel, ophel	pzhel	phbl	pheu	phbel	phem	plhel	pheel
piyare, piyame	pinare	tpiyare	piyarek	piyasre
nadeem, nadekm	nadyem	nadeep	nadoeem
kunal, kunab	kunals	kxnal
pichay, pichaay	pichpay	picchay	pihchay	picbay	pighay	picbhay	piclay
chkr, fchkr	cthkr	chzr	chkk	whkr	shkr	chqkr	cfkr	chkh	chwr
letters, leitters	leztters	lenters	letgters	iletters	letterl	lktters	lettcers	lxetters	lettersa
sind, fsind	sinkd	singd	srnd	usind	sitd	scind
hgya, hgyqa	hgwa	hglya	vhgya	hgyag	hggya	hcgya	hsya
naturally, nvaturally	njaturally	naturqally	nagurally	natlrally	naturwlly	nawurally	natudally	naturasly	naturaqly
gujjar, gujjaqr	gujjarl
zimadari, zimanari	zimadarqi
dehshatgard, dehshatgardk	dehshatoard	dehshabgard
tuti, tjti	tutim	trti	quti	tuiti	tpti	tzti	ututi
malak, mzlak	mwlak	mzalak	mallak	nmalak
khoobsorat, khooosorat	khowbsorat	khoonsorat	khoobsoart	khoobsoat	khoobssrat
bukhar, burhar	bukhsar	bukrar	buknar	bekhar	bukharp	bunkhar
fahad, fahadf	fahap	fahadl	mahad	fdhad	fahab	fahed	fahajd	oahad	fabhad
khizar, kkhizar	khizari	khizapr	khyzar	khizarb	khizazr	kbhizar	khilzar
plzzzzz, plzzzzzx	pvlzzzzz	plzyzzz	llzzzzz	palzzzzz	nlzzzzz	plzzztzz
mujeh, mrjeh	mxjeh	mujedh	mkjeh	iujeh	mrujeh	mujeq	mujeih	tujeh
londi, lvndi	leondi	lonadi	lonci	lokndi	lonli	londqi
jalsy, jalssy	jpalsy	hjalsy	jalisy	jaljy
aml, aiml	amrl	amql	amsl	asml	kaml
khalai, ukhalai
torte, torve	torae	torth
hues, hueas	hums	hunes	hwues	hces
bravo, bnavo	bracvo	bravp	bravvo	bramo
kashtiyan, kashtayan	kasrhtiyan	jashtiyan	kashtiyanl	karhtiyan	kapshtiyan	kcashtiyan	kaschtiyan	kasdhtiyan
tameeraat, tameeraant	tameeracat	tameerapat	tameeraatc	tameergat	tameeroaat	tameerxaat	hameeraat	tameeraajt	tameermat
niki, nikg
kashtkaar, kasihtkaar	rashtkaar	kashtxkaar	kashmkaar	kashtkaary
jdidit, jdidia	jdiditb	jdidii	jdidti	tdidit	jdidift	jdiditd	jdidis	jdpidit	jdidzit
aurang, iurang
jitana, jiotana	jithna	jiana	jitanak	ljitana	jyitana	jitanaq	jitabna
dick, dnick	dicn
boj, bgoj
habri, aabri	habpi
dukhta, dukhtk	udukhta	dukhsta	dukhtv	duvhta	duknhta	dykhta
stable, jtable	stabre	stagble	sjtable	stayble	smable	satble	srable	stablne
jahez, jahezm	jahelz	jahezn	jahkz	jghez	jafez	xahez
obsession, obsessiox	obsessjon	obsesxion	obsessionp	sobsession	obsesoion	obdession	obssession	rbsession	obspession
layega, lawyega	lacega	layuga	layegm
ypocrite, ypocritel	lypocrite	ypocnrite	yvpocrite	ypocritec	ypoctrite	ypocrrte	ypoerite	ypocrive
karuga, kauga	kmruga	okaruga	karucga	karjga	karugat
arabar, arajar
justification, justificatiokn	jcustification	justzification	justificafion	justificaztion
iranga, irlnga
ubaan, ubaaj	uxaan	ubean
gunahgaar, gunahigaar	gunrahgaar	gunahganr	gunahcgaar	gnahgaar	gunahgayar	gxunahgaar	gunahgaai
enin, xenin	eninf	evnin	entin	enyn	eniun	enivn	ynin
aropi, arfopi	aroui	aropfi	avropi	aropiw	arvpi	asopi	aroyi
nl, nel
oote, osote	obote	ojte	opote
kutai, kuotai	kuaai	eutai	kujai	kutaz	kvutai	kutaii	kjtai	kuthi	kutawi
arbaad, arbayd	arbaadz	arzbaad	arbaed	anrbaad	arbrad	erbaad	ahrbaad
verma, vermas	vermq	vermw	vwrma	vehma	vermay	vcrma	veema	vwerma	vxerma
abahi, abahdi	absahi	abajhi	abarhi	abnhi	awbahi	abahqi
nowadays, nowudays	nowadakys	nowadajys
noida, anoida	nlida	dnoida	nodda	nobida	noidca	nomda	noidra
tattoo, taqttoo	tawttoo	tamtoo	tuattoo	tattoz	tattoio
nx, yx	xnx	nxk	unx	nxz
pradhanmantri, prauhanmantri	pradhanmanzri	pradhanmanyri
broadcast, bhoadcast	bradcast	xbroadcast	blroadcast	bpoadcast	brokdcast	broahcast
shakha, skhakha	sghakha	shaikha	siakha	shakhga	shaykha	shahha	sfakha	shabha
nsu, nqsu	wnsu
instant, instantn	itnstant	icstant	inhstant	instagnt	instanat
kesari, yesari	kesaei	nesari	kegari	kesagri	kesarei	kesarid	kesnari
ajad, ajafd	ajkd	djad	jjad
aaste, zaaste	abaste	aasty	aaate	aasten	uaste
upsc, upxsc	upsl	upsce	wupsc	mupsc	upmc	upsch	upst	ubpsc	updc
server, seruver	servaer	sermver	servber
rukao, qrukao	rukpo	rukzo
tijori, tijzori	tijorn	uijori	tijorgi	tiiori	hijori	tijors	tioori	titjori	tijoir
annabelle, annabellee	annmabelle	agnabelle	anhabelle	annabjlle
istening, istenxng
dhaam, dhaalm	dhaau	dhaham	dhaahm	dhaamv	dhaams	idhaam	dbhaam	vdhaam
wakiye, wadkiye	wakiyem	waskiye	wakikye	kakiye
arca, ajrca	mrca	arcr	arcan	arcad	arqca	arxca	aeca
takaluf, taskaluf	tapkaluf	takasuf	takabuf	takamluf	takafluf	tgakaluf
huwab, huwabf
hotum, hotfum	zhotum
daw, dajw	dww
wayne, wkyne	waynn	wabne	waywne	waynep	cwayne	waynce	uayne	waywe	kwayne
iyadh, idyadh	iwadh	yyadh	iyavh
perasaan, perasuaan	periasaan	perasaxan	perkasaan	zperasaan	perrasaan
uara, uraa	uarc
membuat, mesmbuat	mlmbuat	mxmbuat	dmembuat	membumat	memjuat	membumt
harusnya, harulnya
olds, owds	oldsy
ukhra, uahra	uwhra	ukchra	kukhra	ukhrap
gmn, fmn	gmln	fgmn
belakang, belagang
noah, noahh	onoah
tareefi, tbareefi	ftareefi	tareeai	ctareefi
rucial, rucral
chriss, cdhriss	bchriss	cohriss	chrlss	chrise	chrfss	chaiss	chrisq
lebaran, lebarqn
aymbolinson, aymbolinsonp	aymbslinson
seepe, seepge	sepe	oeepe	seepg	sezepe	eseepe	seepeg	seepw
gireybn, gireycn	gizreybn	girexybn
lubhaney, lurbhaney	luhbaney	labhaney	lubhanex	lufbhaney	lubhuaney	luybhaney
khlase, khlasej	chlase	phlase	khlgse	khlasev	uhlase	khlasg	khlajse	kxhlase	khdase
sanjanasanghi, sanjanaswanghi	sanjanasmanghi	sanjanasanghsi	sanjanassnghi	gsanjanasanghi	snajanasanghi	sapjanasanghi	ksanjanasanghi
ipsgupteshwar, ipsgupyeshwar	impsgupteshwar	ipsgupxeshwar
gerald, geyald	xgerald	xerald
gaiyat, gamiyat	pgaiyat	gaiyap	gaiyar	gasiyat	gjiyat
histn, hiwstn	uistn	aistn	hvistn	ihstn
chanat, chanaut	chanazt	chbnat	chanapt	rhanat	chanjt	chanam	chkanat	chanatw
bukcha, bkkcha	bukacha
titus, titusn	iitus	tjtus	titux	titfs	teitus	tits	tituts	vtitus	tites
thornton, thornston	thorntot	thorntsn	thornuon	hhornton	thorntonx	bthornton	tvornton	thohnton
finor, fqnor
risens, risenis	ridsens
phillipina, pchillipina	philsipina	philljpina	philiipina	phillipicna	phiullipina	phillgpina
realitants, rfalitants	realitantd	realitantvs	relaitants
dhelia, dhelga	dhelica	dheliq	dhglia	dhelih	dxelia	dlelia	dhylia	dhwlia
hawn, hawnd
deney, diney	dehey	dweney	dedey	ddeney
sadah, savah
bes, fbes	bves	besu	bess	zbes
sunayi, suntayi	tunayi	sunahi	sunhayi	sujayi	sunoyi	sunfyi
khatibana, khatibayna	khatibahna	khkatibana	khzatibana	khattibana	khartibana	khatibanm
hunk, vhunk	hrnk	hunkm
finals, ifinals	finalrs
yess, sess	cyess	xess	yexss	yeiss
bishop, bimshop	bishor	bisfop	bishow	bishojp	bishoop	bishok
nisbati, nisbwati
affair, affeir	affvir	afgfair	affpir	afiair	affaira	affairk	afkair	affaip
debo, debk	depo	gdebo	debro	deabo	deco
frndship, frndsehip	jfrndship	frndshia	frnqdship
azari, azabri
manata, mknata	manataf	manatam	maxnata	manaxta	mapnata	manamta	manava	manafta
ummer, ummee	umfmer	pummer	ummet	ummern	ummeru	ummelr	utmer	uxmmer	ummef
bnayi, bnakyi	bqnayi
occasion, occasiomn	occtasion	occoasion	occacion	occabion	occdsion	occasidn	ooccasion
karza, kyarza	karzao	karxza	karzf	karzm	karzv	oarza
kard, kuard	karid	hkard	karwd	kpard	gkard
audit, qaudit	auditc	naudit	audiv	auditz	ajdit
midrd, omidrd	wmidrd	midrrd	mcdrd	midyd
sodda, jsodda	sodca	somda	soddag	soddda	sogdda
maashron, tmaashron	maasbron	maashrkon	maashrzn	maashroe	maasshron	ymaashron
ayshle, ayshlg
rassay, iassay	rasseay
ardon, acrdon	ardn	ardgon	arydon	ardion
nawees, naweehs	nawrees	nawiees	naweeys	ntawees	naweds	dnawees	unawees
qiq, qiaq	qitq	xiq	qbiq
ithna, itdhna	lithna	eithna	cthna
evdas, wevdas	evdah
brainless, borainless	buainless	obrainless	bnrainless	brlinless	braijless	braninless	braiiless
ghumo, aghumo	ghmmo	ghwumo	glumo	guhmo
umay, sumay	umvay	umayh	lmay
hating, hatkng	hathng	hatingo	hationg	qhating	hlating	hatina	huating	haating	hatingq
aato, aaeo	aatdo
ghode, ghodee	ghxode	ghdode	kghode	gfode	ghtde	ghod	ghgode
endra, eadra	ekndra	endrav
itaji, itzaji	italji	titaji	itahji	otaji	taji	itqaji	itkji	itajai	iytaji
snapchat, snaopchat	snaochat	snwpchat	snapchot	tnapchat	snapclat	snapzhat	snapchatd	sgapchat	snazchat
vachan, vackan	vacrhan	vacxhan	vagchan	lvachan	vxchan	vachlan	oachan	vacwhan	vacpan
deemag, dneemag	defemag
chahega, chahegj	chahegca	vhahega	cjahega	chamhega	chahegl	chvhega	chahenga
savidhan, savidian
bis, zbis	bisv	bdis	bisq	bbis
nirbhaya, nirbhzaya	nirbhraya	nirbhayan	nirbhayae	nirbhaywa	nurbhaya
acchai, acclhai
anke, lnke	alnke	anyke	xnke	amke
aaray, aqaray
supportive, supporfive	qupportive	supiportive	supkportive	lupportive
organisation, orwanisation	orgbnisation	orgpnisation	organisatieon	orglnisation	orgahisation	organiusation	organisatibon	horganisation
tolerance, tolezance	tolerahce	tolerancew	utolerance	tolerancee	towlerance	tolreance	toleracnce
ehni, ehnfi	ehniy	erhni
carefully, carefull	carefulpy	careflly	caiefully	carefullby
ashington, ashingten	ashingfton	athington	ashingthn	ashiongton	ashingtol	ashingtzon	ahsington
disappointment, disappointmint	dilsappointment	disappoibtment	disapgpointment	disappointmentl	disappoxntment	disawpointment	divappointment	disapupointment
andhiji, wandhiji	andhifi	andhisi	andhiei	andhijli	andhijzi
commenting, commeenting	commentling	commenving	commentinc	comrenting	comtmenting	comhmenting	commentning	commenating
avage, avagg	asage	oavage	atvage	avnage	avageu	avagd	azage	ayage
ria, riva
seme, sgeme	ieme	seae	semhe	ssme	sempe	selme	pseme	spme	sebe
xperience, xpezrience	xlerience	xporience	hperience	xvperience	xperienfce	xpedrience
bachte, baczte	bachto	bachtez	bkchte	bachvte
alank, akank	falank	alanzk	alankh	adank	avlank	alanmk	alaik	alaenk
unti, uuti	untg	uwnti	kunti	untw	uqti	untie	unzti	uwti
blunder, alunder	bjunder	bluneder	bsunder	bwlunder	blumnder	blunxer	baunder	blundeh
kashmeer, kalhmeer	kashtmeer
rains, raiens	raiins	rzains	rainsu	rvains	rainx
ukar, ucar	ukaro	rukar	uklar	ukarv	ukap	ular
erm, ermu	drm	mrm	ejm
andhbhakti, andhbhaksti	bndhbhakti	xandhbhakti
bong, boing	bomg	bonb	boong	bokg	bhng
jaankaari, jaankaagri	jaankaawri	jaannaari	jaankhari	jaaonkaari	jaunkaari	jmankaari	jawnkaari	jaanyaari	jaankaariz
uae, ueae	uao	uiae	vuae
ntry, ntrx
bhaagti, bhaagtiy
yas, iyas	yaj	yaes	fyas
hakeel, hakeeb	hakweel	hakeevl	hakebl	hakekel	hakewel	hakbeel	hakeelp
bii, bxii	bnii	byii	tbii	biri	bui
hosdi, zosdi	howsdi	huosdi
bohtan, bohtna	pohtan	bohtank	bohtgan	yohtan	bzhtan	fbohtan	buohtan	bohan	bohtaqn
puto, puton	xuto	putgo	pcto	pueto	putg	puito	pufo	outo
akomat, akomab
dharmi, dhamrmi	rdharmi	dhapmi
ravel, ravll	rxavel
ruang, ryuang	ruanbg	rukng	ruavg	ruanzg	ruwang	ruangl	ruanrg	ruanog
oochne, oochkne	oovhne	oochnk	oychne	oochrne	oocqne	oochmne	oochnf	onochne
ibah, ibab	ibjh	ibak	ibuh	ivbah	wbah
cera, cfra	cdera	pcera	certa	cjra	cepa
kanan, kanann	kanaon	kfanan	kanpn	kayan	kanyan
ngapain, ngamain	ngapaix	ntapain	ngcapain	ngyapain
thinkin, tmhinkin	thinkink	thinkpin	zhinkin	tshinkin	thinkino
kreh, krehk
jurna, jurnaf	jurgna
simone, simfne	sicmone	siomne	simonz	szimone
utah, utauh	utahv	utayh
nidhaal, nedhaal	wnidhaal	nlidhaal	nidhalal	nbidhaal	nidhnal	nikhaal	nibhaal	nidhawl	nidhacl
zairak, kzairak	zaqrak	dairak
khaksari, khaksauri	xkhaksari
tazadat, taqadat	tazxdat	tazudat	qazadat	tazcdat	ytazadat	tazadgat	pazadat	tazadrat	jazadat
milisa, miliva	mimlisa	milzsa
unmarked, unmerked	unmajrked	uznmarked	unmarkebd	unmarkked	unmarke	wnmarked	unmarkeld	funmarked
ensation, ensatino	ensatiqn	ensatiin	ensationv	jnsation	eesation	sensation	ensajtion
miojo, miooj	miojog	mgiojo	mizjo
whut, whvt	whuit
fernando, fernanwo	fernanno	bfernando	fernvndo	fernbndo	feznando
manning, lmanning	maynning	mannqing
dresden, drcesden	dresmen
witchs, wicchs	wfitchs	witychs	wiwchs	ditchs
daves, laves	maves	davgs	dafves	draves	dyves	deaves	davls	davdes
shahodi, mshahodi	shlhodi	ashahodi	shathodi	sxhahodi	shahodz	shahldi
crewmen, cerwmen
rocco, rocico	urocco	roccor	rochco	oocco	rbocco
deadaim, deadaimq	deadmaim	dekadaim	deadafm	dehdaim	deadyaim	deadvaim	dradaim
huffity, huffitqy	hufcity	haffity	hsffity	euffity	hufyity	huffpty	huftity	huffgty	huffityc
rooms, roomf	dooms	roons	roomt	roomvs	roooms	roomzs	roomr
although, ulthough	atlthough	althpugh	althougsh	althogugh	althougjh	althougoh	althoutgh	althwough	xlthough
auntie, aunxtie	auntve	auntihe	launtie	aauntie	auzntie	aunotie	kuntie
lanay, lnanay	lgnay	laway	lanoay	lanaya
ustani, ustaui	fustani	uptani	ustant	ujstani
qasim, qoasim	qtasim	nasim	qasbm	qaisim
sharik, sharizk	siarik	sharikx	sharie	csharik
sohna, sofna	swohna	sohnv	somna	sohno	sohnq	sothna	swhna
tmny, amny	tmnr	tmnq	tqmny	tmnxy
yakhni, yalhni	yuakhni	yakmhni	yakhzi	yakhnq	yakhji	yakahni	yaahni
primary, primaryg	prvimary	pricary	primaryp	primagry	przimary	prgmary
tarikhon, tazrikhon	tsarikhon	trrikhon	tarizhon	tarmkhon
ross, rossf	rosjs	rols	rossz	rohs	rojss	rposs
dilip, dilipw	dilipd	zilip	dilipm	dhlip	dclip	dilii	dzilip
rishi, rishu	rishis	rishie	risdhi	rispi
kamayi, kazayi	kmmayi	kamlayi	kkamayi	kamayyi	khmayi	kammayi	kymayi
asifa, aisfa	acifa	asifea	assfa	asiha
dirt, fdirt	adirt	dgrt	ddirt	diryt	mdirt	deirt
besan, mbesan	besmn	besab	befan
pash, pmsh	pashn	vash	pagh	kpash	puash	pjsh
qurbanion, qurbapnion	qujbanion	nurbanion
selabi, selayi	gelabi	eelabi
thoka, tghoka	thmoka	tloka	thokr	thoya	thokza	thkoa
bajatay, bajagay	bajatayv	bajaaay	majatay	bajatagy	bacatay
scanning, scannintg	pscanning	sctnning	scyanning	scanninrg	scaneing
kunvey, kusvey	kuvey	uknvey	kunvoy	kunvsey
rasail, qasail	rlasail	basail	rasaila	casail	rafsail
debt, djbt	debtv	debtp	hebt	debx	deat	vebt	dxbt	febt
tanseeb, tauseeb	tanpseeb
areh, arpeh	ardh	arem	arewh	alreh	aoeh	uareh	areih	yreh
ncp, nip	ncs
dalaali, dalabli	dalcali	daglaali	dajaali	dalaaqli	daflaali	walaali	dalcaali	daltali	dablaali
itno, ivtno	ibtno	iteo	ttno	itnjo	ityno	itnom	hitno	ixtno
eedha, eedfha	eqedha	eedpa	leedha	ekedha
maata, mazata	maatw	maatas	maatat	tmaata	maatu	maaea	maoata
priyank, privyank	priyanak	jpriyank	prziyank	gpriyank	priyanpk	priyrank	pyiyank
reel, regl	rjel	rtel	resel	reepl	reevl
imar, icar	imlar	ihmar	imarh	imaqr	imfr	cmar	imawr
ahiras, ahiros	ahirasy	ahiraz	dahiras
milaa, milat	mizaa	amilaa	mlaa
jhaant, jhadant	rjhaant	jhafant	ohaant	jhaans	jhaawt	jhaantj	jhaanu	jhkant	whaant
phad, phajd	phadg
rakhoge, rakqhoge	rakhorge	rakhpoge	vakhoge	radkhoge	rakhdge
adta, gdta	adtt	rdta	audta	adwa	yadta	fadta
puchega, pulhega	puchrega	puchegva	pqchega	wpuchega	pucdega	pucqega	puchefga	puchhga	puchegxa
bolane, bolano	bofane	bozlane
worries, woxrries	worrits	rorries	worgries	worrieas	worrias
pread, prvead	preae	preasd	phread	prekad	preak	preada
tandwith, tzandwith
pahad, pahfad	pahadz
ods, odl	odsi
unchi, unqhi	uncoi	untchi	unchix	uncri
ominate, orminate	ozinate	omiiate	omcnate	ominatc	ominage	ominaten
foolish, foofish	foplish	fooldish	foolishk	fooliysh
daray, xaray	daoay	darad	dcaray	darly	daxay	oaray	duray	dwaray	darary
hattacharjee, hattanharjee	hattancharjee
jib, jtb	sib	uib	jiib	mib	jiba	jiv	rjib	oib
flowers, flopwers	flovers	floweks	flpwers	flowerst	flomwers
lika, clika	likda	likla	lixka	licka	fika	lixa	vlika
hiya, hzya	hgiya	hniya	shiya	hiyba
chul, clhul	tchul	chuh	crul
sda, sdu	sdap	sdj	sdua	wsda	shda	sgda	asda	sdza
areshani, areshanih
subscribers, subscribersc	subscribders	subscribefrs	subscribersr	subssribers	subscriberv	subpcribers	subsxribers	sucbscribers	subscribsers
esharmi, esharomi	eshamri	eshadmi	eshacrmi	esjarmi	esharqmi
ansh, xansh	anshm	apnsh
arga, argxa	argat	drga	azga	yrga	varga
duaein, duuaein	duaoin	dubein
huky, huhy	hueky	huwky	hukyb	ruky	hukyd	hbuky	uhky	hfky	hukey
chorain, choyain	choraidn	chgrain	choriain	choraina	choraint	choraitn	qhorain	churain
btaon, btaozn	mbtaon	ibtaon	pbtaon	ltaon	bwaon
jeewan, jeewak	jeewanz	jeewaxn	jeegwan	jeewln	jnewan	jedewan	jeewwn	jeefwan
dhinchak, dhipnchak	dhinychak	dhinohak	dhinfchak	dhinchvk	dhincqhak	dhdinchak
bahtar, bahatr	kahtar	bahtdr	bahtav	bahtsar
hanyawad, uhanyawad	panyawad	hanyrawad	hknyawad	hanyamad	hanyywad	ehanyawad	hanyawand
bakht, badkht	bakhty	baeht	bakhh	baikht	bkkht
baadi, lbaadi	qbaadi	baabdi	baiadi	baeadi	btadi	baadid	bpadi
